key,en,ja,ko,zh-TW,zh-CN,es,pt,ru,fr,vi
story_3_1,The sprite realm grows cold. Ice crystals form in the air around you. A pure white light shimmers in the frozen mist.,精霊界が冷え込む。氷の結晶が周囲の空気に形成される。純白の光が凍った霧の中で揺らめく。,영혼계가 차가워진다. 얼음 결정이 주변 공기에 형성된다. 순백의 빛이 얼어붙은 안개 속에서 빛난다.,精靈界變得寒冷。冰晶在你周圍的空氣中形成。純白的光在冰凍的霧氣中閃爍。,精灵界变得寒冷。冰晶在你周围的空气中形成。纯白的光在冰冻的雾气中闪烁。,El reino espiritual se enfría. Cristales de hielo se forman en el aire a tu alrededor. Una luz blanca pura brilla en la niebla helada.,O reino espiritual esfria. Cristais de gelo se formam no ar ao seu redor. Uma luz branca pura brilha na névoa congelada.,Мир духов становится холодным. Кристаллы льда формируются в воздухе вокруг тебя. Чистый белый свет мерцает в замёрзшем тумане.,Le royaume des esprits se refroidit. Des cristaux de glace se forment dans l'air autour de toi. Une lumière blanche pure scintille dans la brume gelée.,Vương quốc linh hồn trở nên lạnh giá. Tinh thể băng hình thành trong không khí xung quanh ngươi. Một ánh sáng trắng thuần khiết lấp lánh trong sương mù đóng băng.
story_3_2,...,...,...,...,...,...,...,...,...,...
story_3_3,Silence. The light pulses gently.,静寂。光が穏やかに脈動する。,침묵. 빛이 부드럽게 맥동한다.,沉默。光芒輕輕跳動。,沉默。光芒轻轻跳动。,Silencio. La luz pulsa suavemente.,Silêncio. A luz pulsa suavemente.,Тишина. Свет мягко пульсирует.,Silence. La lumière pulse doucement.,Im lặng. Ánh sáng nhẹ nhàng nhấp nháy.
story_3_4,...Forgive me. It has been so long since I've spoken to anyone.,...許してください。誰かと話すのは久しぶりで。,...용서해주세요. 누군가와 대화한 지 너무 오래되어서.,...請原諒我。我已經很久沒有和任何人說話了。,...请原谅我。我已经很久没有和任何人说话了。,...Perdóname. Ha pasado tanto tiempo desde que hablé con alguien.,...Perdoe-me. Faz tanto tempo que não falo com ninguém.,"...Прости меня. Прошло так много времени с тех пор, как я с кем-то разговаривала.",...Pardonne-moi. Cela fait si longtemps que je n'ai parlé à personne.,...Xin tha lỗi cho ta. Đã lâu lắm rồi ta không nói chuyện với ai.
story_3_5,"I am Milia. The Angel, they called me.",私はミリア。「天使」と呼ばれていました。,저는 밀리아입니다. '천사'라고 불렸어요.,我是米莉亞。他們叫我「天使」。,我是米莉亚。他们叫我「天使」。,"Soy Milia. El Ángel, me llamaban.","Eu sou Milia. O Anjo, me chamavam.",Я Милия. Меня называли Ангелом.,"Je suis Milia. L'Ange, m'appelait-on.",Ta là Milia. Họ gọi ta là Thiên Thần.
story_3_6,"My power was protection. I could erase any attack, shield any ally.",私の力は守護でした。どんな攻撃も消し去り、どんな味方も守れました。,"제 힘은 보호였어요. 어떤 공격도 지울 수 있었고, 어떤 아군도 지킬 수 있었죠.",我的力量是保護。我可以抹除任何攻擊，守護任何盟友。,我的力量是保护。我可以抹除任何攻击，守护任何盟友。,"Mi poder era la protección. Podía borrar cualquier ataque, escudar a cualquier aliado.","Meu poder era proteção. Eu podia apagar qualquer ataque, escudar qualquer aliado.","Моя сила была защитой. Я могла стереть любую атаку, защитить любого союзника.","Mon pouvoir était la protection. Je pouvais effacer n'importe quelle attaque, protéger n'importe quel allié.","Sức mạnh của ta là bảo vệ. Ta có thể xóa bỏ mọi đòn tấn công, che chắn cho bất kỳ đồng minh nào."
story_3_7,But now... my Remnant uses that power against you.,でも今... 私のレムナントはその力をあなたに向けています。,하지만 지금... 제 잔재가 그 힘을 당신에게 사용하고 있어요.,但現在... 我的殘餘將那力量用在你身上。,但现在... 我的残余用那力量对付你。,Pero ahora... mi Vestigio usa ese poder contra ti.,Mas agora... meu Vestígio usa esse poder contra você.,Но теперь... мой Останок использует эту силу против тебя.,Mais maintenant... mon Vestige utilise ce pouvoir contre toi.,Nhưng bây giờ... Tàn Dư của ta dùng sức mạnh đó chống lại ngươi.
story_3_8,"It will nullify your projectiles, {name}. Arrows, bolts, even lightning...",あなたの飛び道具を無効化します、{name}。矢も、雷撃も...,"당신의 투사체를 무효화할 거예요, {name}. 화살도, 벼락도...",它會無效化你的投射物，{name}。箭矢、雷電...,它会使你的投射物失效，{name}。箭矢、弩矢，甚至闪电...," Anulará tus proyectiles, {name}. Flechas, rayos, incluso relámpagos...","Vai anular seus projéteis, {name}. Flechas, raios, até relâmpagos...","Он аннулирует твои снаряды, {name}. Стрелы, заряды, даже молнии...","Il annulera tes projectiles, {name}. Flèches, traits, même la foudre...","Nó sẽ vô hiệu hóa đạn của ngươi, {name}. Mũi tên, tia sét, thậm chí sấm..."
story_3_9,"If you strike directly, it will simply... vanish.",直接攻撃すれば、ただ... 消えてしまいます。,"직접 공격하면, 그냥... 사라져요.",如果你直接攻擊，它會直接... 消失。,如果你直接攻击，它会简单地... 消失。,"Si atacas directamente, simplemente... desaparecerá.","Se você atacar diretamente, simplesmente... desaparecerá.","Если ты атакуешь напрямую, он просто... исчезнет.","Si tu frappes directement, il va simplement... disparaître.","Nếu ngươi tấn công trực tiếp, nó sẽ đơn giản... biến mất."
story_4_1,"The void stretches endlessly before you. A magenta light burns in the darkness - intense, unwavering.",虚空が果てしなく広がる。マゼンタの光が闇の中で燃える - 強烈で、揺るぎなく。,허공이 끝없이 펼쳐진다. 마젠타 빛이 어둠 속에서 타오른다 - 강렬하고 흔들림 없이.,虛空無盡地延伸。洋紅色的光在黑暗中燃燒 - 強烈且堅定。,虚空无尽地延伸。洋红色的光在黑暗中燃烧 - 强烈且坚定。,"El vacío se extiende sin fin ante ti. Una luz magenta arde en la oscuridad - intensa, inquebrantable.","O vazio se estende infinitamente diante de você. Uma luz magenta queima na escuridão - intensa, inabalável.","Пустота бесконечно простирается перед тобой. Пурпурный свет горит во тьме - интенсивный, неколебимый.","Le vide s'étend à l'infini devant toi. Une lumière magenta brûle dans l'obscurité - intense, inébranlable.","Khoảng không trải dài vô tận trước mặt ngươi. Một ánh sáng màu hồng đậm cháy trong bóng tối - mãnh liệt, không lay chuyển."
story_4_10,Now... face the final trial.,さあ... 最後の試練に挑め。,자... 마지막 시련에 맞서라.,現在... 面對最終試煉。,现在... 面对最终试炼。,Ahora... enfrenta la prueba final.,Agora... enfrente a provação final.,Теперь... встреть финальное испытание.,Maintenant... affronte l'épreuve finale.,Bây giờ... đối mặt thử thách cuối cùng.
story_4_2,So. You're the one who freed the others.,そうか。お前が他の者たちを解放した奴か。,그래. 네가 다른 이들을 해방시킨 자구나.,所以。你就是解放其他人的那個。,所以。你就是解放其他人的那个。,Así que. Tú eres quien liberó a los demás.,Então. Você é quem libertou os outros.,"Так. Ты тот, кто освободил остальных.",Alors. Tu es celui qui a libéré les autres.,Vậy ra. Ngươi là người đã giải phóng những người khác.
story_4_3,"Rex, Beth, Milia... they speak highly of you.",レックス、ベス、ミリア... 皆お前のことを褒めていた。,"렉스, 베스, 밀리아... 모두 널 칭찬하더군.",雷克斯、貝絲、米莉亞... 他們都對你讚不絕口。,雷克斯、贝丝、米莉亚... 他们都对你赞不绝口。,"Rex, Beth, Milia... hablan muy bien de ti.","Rex, Beth, Milia... eles falam muito bem de você.","Рекс, Бет, Милия... они хорошо отзываются о тебе.","Rex, Beth, Milia... ils disent du bien de toi.","Rex, Beth, Milia... họ nói rất tốt về ngươi."
story_4_4,I am Troy. The Laser. My light once held back the demon armies alone.,俺はトロイ。「レーザー」だ。俺の光はかつて一人で魔族の軍勢を押し返した。,나는 트로이. '레이저'다. 내 빛은 한때 홀로 마족 군단을 막아냈다.,我是特洛伊。「雷射」。我的光曾經獨自抵擋惡魔大軍。,我是特洛伊。「镭射」。我的光曾经独自抵挡恶魔大军。,Soy Troy. El Láser. Mi luz una vez contuvo a los ejércitos demoníacos sola.,Eu sou Troy. O Laser. Minha luz um dia segurou os exércitos demoníacos sozinha.,Я Трой. Лазер. Мой свет когда-то один сдерживал армии демонов.,Je suis Troy. Le Laser. Ma lumière retenait autrefois les armées démoniaques à elle seule.,Ta là Troy. Laser. Ánh sáng của ta ngày xưa một mình chống lại đội quân quỷ.
story_4_5,And now that same light will try to destroy you.,そして今、その同じ光がお前を破壊しようとしている。,그리고 지금 그 같은 빛이 널 파괴하려 한다.,現在那同樣的光將試圖摧毀你。,现在那同样的光将试图摧毁你。,Y ahora esa misma luz intentará destruirte.,E agora essa mesma luz vai tentar te destruir.,И теперь тот же свет попытается уничтожить тебя.,Et maintenant cette même lumière va essayer de te détruire.,Và giờ chính ánh sáng đó sẽ cố tiêu diệt ngươi.
story_4_6,"My Remnant doesn't stop, {name}. It fires. And fires. And fires.",俺のレムナントは止まらない、{name}。撃つ。また撃つ。ひたすら撃ち続ける。,"내 잔재는 멈추지 않아, {name}. 쏘고. 또 쏘고. 계속 쏜다.",我的殘餘不會停，{name}。它開火。再開火。不斷開火。,我的残余不会停，{name}。它开火。再开火。不断开火。,"Mi Vestigio no se detiene, {name}. Dispara. Y dispara. Y dispara.","Meu Vestígio não para, {name}. Ele atira. E atira. E atira.","Мой Останок не останавливается, {name}. Он стреляет. И стреляет. И стреляет.","Mon Vestige ne s'arrête pas, {name}. Il tire. Et tire. Et tire.","Tàn Dư của ta không dừng lại, {name}. Nó bắn. Rồi bắn. Rồi bắn."
story_4_7,You cannot dodge forever. You will take damage.,永遠に避け続けることはできない。ダメージを受ける。,영원히 피할 수 없어. 피해를 받게 될 거다.,你無法永遠閃避。你會受到傷害。,你无法永远闪避。你会受到伤害。,No puedes esquivar para siempre. Recibirás daño.,Você não pode esquivar para sempre. Vai receber dano.,Ты не сможешь уворачиваться вечно. Ты получишь урон.,Tu ne peux pas esquiver éternellement. Tu subiras des dégâts.,Ngươi không thể né mãi. Ngươi sẽ chịu sát thương.
story_4_8,The question is: can you heal faster than it hurts you?,問題は：傷つく速度より早く回復できるか？,문제는: 다치는 것보다 빨리 회복할 수 있느냐다.,問題是：你能比受傷更快地治癒嗎？,问题是：你能比它伤害你更快地治愈吗？,La pregunta es: ¿puedes curarte más rápido de lo que te hiere?,A questão é: você consegue curar mais rápido do que te machuca?,"Вопрос в том: сможешь ли ты лечиться быстрее, чем он наносит урон?",La question est : peux-tu te soigner plus vite qu'il ne te blesse ?,Câu hỏi là: ngươi có thể hồi máu nhanh hơn nó gây thương không?
story_4_9,Use the Cleric. Use the Vampire. Sustain is everything.,クレリックを使え。ヴァンパイアを使え。持久力が全てだ。,클레릭을 써라. 뱀파이어를 써라. 지속력이 전부다.,用牧師。用吸血鬼。續航就是一切。,用牧师。用吸血鬼。持续性是一切。,Usa el Clérigo. Usa el Vampiro. El sustento lo es todo.,Use o Clérigo. Use o Vampiro. Sustentação é tudo.,Используй Жреца. Используй Вампира. Выживаемость - это всё.,Utilise le Clerc. Utilise le Vampire. Le soutien est tout.,Dùng Thầy Tu. Dùng Ma Cà Rồng. Duy trì là tất cả.
story_5_1,The final Demon Lord falls. The Sentient pulses with renewed light.,最後の魔王が倒れる。「感応者」が新たな光で脈動する。,마지막 마왕이 쓰러진다. '감응자'가 새로운 빛으로 맥동한다.,最後的魔王倒下。「感知者」以新的光芒跳動。,最后的魔王倒下了。「感应者」焕发出新的光芒。,El Señor Demonio final cae. El Sintiente pulsa con luz renovada.,O Senhor Demônio final cai. O Senciente pulsa com luz renovada.,Последний Лорд Демонов падает. Сенсиент сияет обновлённым светом.,Le Seigneur Démon final tombe. Le Sensient pulse d'une lumière renouvelée.,Chúa Quỷ cuối cùng ngã xuống. Cảm Thức tỏa sáng với ánh sáng mới.
story_5_10,You will always be welcome here.,あなたはいつでも歓迎されます。,당신은 언제나 환영받을 거예요.,你永遠受歡迎。,你随时都受欢迎。,Siempre serás bienvenido aquí.,Você sempre será bem-vindo aqui.,Тебе здесь всегда рады.,Tu seras toujours le bienvenu ici.,Ngươi luôn được chào đón ở đây.
story_5_11,The sprites will remember you. We will remember you.,スプライトたちはお前を覚えている。俺たちも覚えている。,스프라이트들이 널 기억할 것이다. 우리도 기억할 것이다.,精靈們會記住你。我們也會記住你。,精灵们会记住你。我们也会记住你。,Los sprites te recordarán. Nosotros te recordaremos.,Os sprites vão se lembrar de você. Nós vamos nos lembrar de você.,Спрайты будут помнить тебя. Мы будем помнить тебя.,Les sprites se souviendront de toi. Nous nous souviendrons de toi.,Các sprite sẽ nhớ ngươi. Chúng ta sẽ nhớ ngươi.
story_5_12,"Farewell, {name}. Hero of Two Worlds.",さらばだ、{name}。二つの世界の英雄よ。,"안녕, {name}. 두 세계의 영웅이여.",再見，{name}。兩個世界的英雄。,再见，{name}。两个世界的英雄。,"Adiós, {name}. Héroe de Dos Mundos.","Adeus, {name}. Herói de Dois Mundos.","Прощай, {name}. Герой Двух Миров.","Adieu, {name}. Héros de Deux Mondes.","Tạm biệt, {name}. Anh hùng của Hai Thế Giới."
story_5_13,"Your consciousness begins to fade, drifting back to where you came from. But the bond remains. Whenever you close your eyes, you can still feel them - the sprites, the heroes, and a world you helped save.",お前の意識が薄れ始め、来た場所へと漂い戻っていく。だが絆は残る。目を閉じればいつでも感じられる - スプライトたち、英雄たち、そしてお前が救った世界を。,"네 의식이 흐려지기 시작하고, 왔던 곳으로 떠다닌다. 하지만 유대는 남는다. 눈을 감을 때마다 그들을 느낄 수 있다 - 스프라이트들, 영웅들, 그리고 네가 구한 세계를.",你的意識開始消散，漂回你來的地方。但羈絆依然存在。每當你閉上眼睛，你仍能感受到他們 - 精靈們、英雄們，以及你幫助拯救的世界。,你的意识开始消散，漂回你来的地方。但羁绊依然存在。每当你闭上眼睛，你仍能感受到他们——精灵们、英雄们，以及你帮助拯救的世界。,"Tu conciencia comienza a desvanecerse, volviendo a donde viniste. Pero el vínculo permanece. Cuando cierres los ojos, aún puedes sentirlos - los sprites, los héroes, y un mundo que ayudaste a salvar.","Sua consciência começa a desvanecer, voltando de onde você veio. Mas o vínculo permanece. Quando você fechar os olhos, ainda pode senti-los - os sprites, os heróis, e um mundo que você ajudou a salvar.","Твоё сознание начинает угасать, возвращаясь туда, откуда ты пришёл. Но связь остаётся. Когда ты закрываешь глаза, ты всё ещё можешь чувствовать их - спрайтов, героев и мир, который ты помог спасти.","Ta conscience commence à s'estomper, retournant d'où tu viens. Mais le lien reste. Quand tu fermes les yeux, tu peux encore les sentir - les sprites, les héros, et un monde que tu as aidé à sauver.","Ý thức của ngươi bắt đầu mờ dần, trôi về nơi ngươi đến. Nhưng sợi dây liên kết vẫn còn. Mỗi khi nhắm mắt, ngươi vẫn có thể cảm nhận họ - các sprite, các anh hùng, và thế giới ngươi đã giúp cứu."
story_5_14,THE END - Thank you for playing Sprite Survivor.,THE END - スプライトサバイバーをプレイしていただきありがとうございました。,THE END - 스프라이트 서바이버를 플레이해주셔서 감사합니다.,THE END - 感謝遊玩精靈生存者。,THE END - 感谢游玩精灵生存者。,FIN - Gracias por jugar Sprite Survivor.,FIM - Obrigado por jogar Sprite Survivor.,КОНЕЦ - Спасибо за игру в Sprite Survivor.,FIN - Merci d'avoir joué à Sprite Survivor.,HẾT - Cảm ơn đã chơi Sprite Survivor.
story_5_2,{name}... you did it.,{name}... やったな。,{name}... 해냈구나.,{name}... 你做到了。,{name}... 你做到了。,{name}... lo lograste.,{name}... você conseguiu.,{name}... ты сделал это.,{name}... tu as réussi.,{name}... ngươi đã làm được.
story_5_3,The demons are finished! The Sentient is safe!,魔族は終わった！「感応者」は無事だ！,마족은 끝났어! '감응자'는 안전해!,惡魔結束了！「感知者」安全了！,恶魔被消灭了！「感应者」安全了！,¡Los demonios han sido derrotados! ¡El Sintiente está a salvo!,Os demônios foram derrotados! O Senciente está a salvo!,Демоны побеждены! Сенсиент в безопасности!,Les démons sont vaincus ! Le Sensient est sauf !,Bọn quỷ đã bị tiêu diệt! Cảm Thức an toàn!
story_5_4,Our world... it will heal now.,私たちの世界は... これから癒えていくでしょう。,우리 세계가... 이제 치유될 거예요.,我們的世界... 現在會開始癒合。,我们的世界... 现在会开始愈合了。,Nuestro mundo... ahora sanará.,Nosso mundo... agora vai se curar.,Наш мир... теперь исцелится.,Notre monde... va maintenant guérir.,Thế giới của chúng ta... giờ sẽ hồi phục.
story_5_5,Thanks to you.,お前のおかげだ。,네 덕분이다.,多虧了你。,多亏了你。,Gracias a ti.,Graças a você.,Благодаря тебе.,Grâce à toi.,Nhờ có ngươi.
story_5_6,"The Sentient's light washes over the land. Where demons once roamed, life begins to return.",「感応者」の光が大地を洗う。魔族が跋扈していた場所に、命が戻り始める。,'감응자'의 빛이 대지를 씻는다. 마족이 배회하던 곳에 생명이 돌아오기 시작한다.,「感知者」的光芒洗滌大地。曾經惡魔橫行的地方，生命開始回歸。,「感应者」的光芒洗涤大地。恶魔曾经肆虐的地方，生命开始复苏。,"La luz del Sintiente baña la tierra. Donde los demonios una vez vagaban, la vida comienza a regresar.","A luz do Senciente banha a terra. Onde demônios uma vez vagavam, a vida começa a retornar.","Свет Сенсиента омывает землю. Там, где когда-то бродили демоны, жизнь начинает возвращаться.","La lumière du Sensient baigne la terre. Là où les démons erraient, la vie commence à revenir.","Ánh sáng của Cảm Thức tràn ngập đất đai. Nơi quỷ từng hoành hành, sự sống bắt đầu trở lại."
story_5_7,You came from another world to save ours.,お前は別の世界から来て、俺たちの世界を救った。,너는 다른 세계에서 와서 우리 세계를 구했다.,你來自另一個世界，拯救了我們的世界。,你从另一个世界来拯救了我们的世界。,Viniste de otro mundo para salvar el nuestro.,Você veio de outro mundo para salvar o nosso.,"Ты пришёл из другого мира, чтобы спасти наш.",Tu es venu d'un autre monde pour sauver le nôtre.,Ngươi đến từ thế giới khác để cứu thế giới của chúng ta.
story_5_8,We can never repay that debt.,その恩は返しきれない。,그 빚은 갚을 수 없다.,這份恩情我們無法償還。,这份恩情我们无法偿还。,Nunca podremos pagar esa deuda.,Nunca poderemos pagar essa dívida.,Мы никогда не сможем отплатить этот долг.,Nous ne pourrons jamais rembourser cette dette.,Chúng ta không bao giờ có thể trả được món nợ này.
story_5_9,"But hey, if you ever want to visit...",でもねー、遊びに来たくなったらいつでも...,"근데 있잖아, 놀러 오고 싶으면...",不過嘿，如果你想來玩的話...,不过，如果你想来玩的话...,"Pero oye, si alguna vez quieres visitarnos...","Mas ei, se você quiser nos visitar...","Но эй, если когда-нибудь захочешь навестить...","Mais bon, si tu veux nous rendre visite...","Nhưng này, nếu ngươi muốn ghé thăm..."
story_boss_1_0,A massive warrior materializes - a distorted echo of Rex. Its eyes burn with mindless fury.,巨大な戦士が現れる - レックスの歪んだ残響。その目は盲目的な怒りで燃えている。,거대한 전사가 나타난다 - 렉스의 왜곡된 메아리. 그 눈이 맹목적인 분노로 타오른다.,一個巨大的戰士現身 - 雷克斯扭曲的回響。它的眼中燃燒著盲目的憤怒。,一个巨大的战士实体化——雷克斯扭曲的回响。它的眼睛燃烧着无意识的怒火。,Un guerrero masivo se materializa - un eco distorsionado de Rex. Sus ojos arden con furia irracional.,Um guerreiro massivo se materializa - um eco distorcido de Rex. Seus olhos ardem com fúria irracional.,Массивный воин материализуется - искажённое эхо Рекса. Его глаза горят бессмысленной яростью.,Un guerrier massif se matérialise - un écho déformé de Rex. Ses yeux brûlent d'une fureur aveugle.,Một chiến binh khổng lồ hiện ra - tiếng vọng méo mó của Rex. Đôi mắt nó cháy bùng cơn thịnh nộ vô thức.
story_boss_1_1,It cannot speak. It is not me - only a shadow of my strength.,それは話せない。我ではない - 我の力の影に過ぎん。,말을 할 수 없다. 나가 아니야 - 내 힘의 그림자일 뿐.,它無法說話。它不是我 - 只是我力量的影子。,它无法说话。它不是我——只是我力量的影子。,¡Mi Vestigio se acerca! ¡Lleva mi furia guerrera!,Meu Vestígio se aproxima! Ele carrega minha fúria guerreira!,Мой Останок приближается! Он несёт мою воинскую ярость!,Mon Vestige approche ! Il porte ma fureur guerrière !,Tàn Dư của ta đang đến! Nó mang theo cơn thịnh nộ chiến binh!
story_boss_1_2,"Destroy it, and my power returns to me!",それを破壊すれば、我の力は我に戻る！,"그것을 파괴하면, 내 힘이 내게 돌아온다!",摧毀它，我的力量就會回到我身上！,摧毁它，我的力量就会回到我身上！,"¡Destrúyelo, y mi poder volverá a mí!","Destrua-o, e meu poder voltará para mim!",Уничтожь его — и моя сила вернётся ко мне!,"Détruis-le, et ma puissance me reviendra !","Hãy phá hủy nó, và sức mạnh của ta sẽ trở về!"
story_boss_2_0,"A figure materializes, surrounded by orbiting spheres of energy. Each sphere pulses with chaotic momentum.",人影が現れ、周囲をエネルギーの球体が回っている。それぞれの球体が混沌の勢いで脈動している。,"형체가 나타나고, 에너지 구체들이 그 주위를 돈다. 각 구체가 혼란스러운 운동량으로 맥동한다.",一個身影現身，被能量球體環繞。每個球體都以混沌的動量跳動。,一个身影实体化，周围环绕着轨道能量球。每个球体都带着混沌的动量脉动。,"Una figura se materializa, rodeada de esferas orbitantes de energía. Cada esfera pulsa con impulso caótico.","Uma figura se materializa, cercada por esferas orbitantes de energia. Cada esfera pulsa com impulso caótico.",Фигура материализуется в окружении орбитальных сфер энергии. Каждая сфера пульсирует хаотичным импульсом.,"Une silhouette se matérialise, entourée de sphères d'énergie en orbite. Chaque sphère pulse d'un élan chaotique.","Một hình bóng hiện ra, bao quanh bởi những quả cầu năng lượng quay quanh. Mỗi quả cầu rung động với xung lực hỗn loạn."
story_boss_2_1,"There it is. My power, running wild.",あれよ。私の力が、暴走している。,"저기 있어. 내 힘이, 폭주하고 있어.",就是它。我的力量，失控了。,就在那儿。我的力量，正在失控。,¡Aquí viene! ¡Cuidado con los ataques rebotantes!,Lá vem ele! Cuidado com os ataques saltitantes!,Вот он! Берегись отскакивающих атак!,Le voilà ! Attention aux attaques rebondissantes !,Nó đến rồi! Cẩn thận với những đòn tấn công nảy!
story_boss_2_2,"Stay light on your feet, {name}!",足取りを軽く、{name}！,"발을 가볍게, {name}!",腳步輕快點，{name}！,脚步轻点，{name}！,"¡Sigue moviéndote, {name}! ¡El impulso lo es todo!","Continue se movendo, {name}! Impulso é tudo!","Продолжай двигаться, {name}! Импульс - это всё!","Continue de bouger, {name} ! L'élan est tout !","Tiếp tục di chuyển, {name}! Động lượng là tất cả!"
story_boss_3_0,"A radiant figure appears, wings spread wide. A barrier of light surrounds it, deflecting all that approaches.",輝く姿が現れ、翼を広げている。光の障壁がそれを囲み、近づくもの全てを弾く。,"빛나는 형상이 나타나고, 날개를 펼친다. 빛의 장벽이 그것을 둘러싸고, 다가오는 모든 것을 튕겨낸다.",一個光輝的身影出現，翅膀展開。光之屏障環繞它，抵擋一切接近的事物。,一个辐射着光芒的身影出现，双翼展开。光之屏障包围着它，偏转一切接近的东西。,"Una figura radiante aparece, alas extendidas. Una barrera de luz la rodea, desviando todo lo que se acerca.","Uma figura radiante aparece, asas abertas. Uma barreira de luz a cerca, desviando tudo que se aproxima.","Появляется сияющая фигура с раскрытыми крыльями. Барьер света окружает её, отклоняя всё приближающееся.","Une silhouette radieuse apparaît, ailes déployées. Une barrière de lumière l'entoure, déviant tout ce qui approche.","Một hình bóng rạng rỡ xuất hiện, đôi cánh dang rộng. Rào chắn ánh sáng bao quanh nó, đẩy lùi mọi thứ đến gần."
story_boss_3_1,Beautiful and terrible... that was once my light.,美しくも恐ろしい... あれはかつて私の光でした。,아름답고 끔찍해요... 저건 한때 제 빛이었어요.,美麗又可怕... 那曾經是我的光。,美丽又可怕……那曾经是我的光。,¡Mi Vestigio desciende! ¡Esos rayos dolerán!,Meu Vestígio desce! Esses raios vão doer!,Мой Останок спускается! Эти лучи будут больно!,Mon Vestige descend ! Ces rayons vont faire mal !,Tàn Dư của ta đang hạ xuống! Những tia sáng đó sẽ đau!
story_boss_3_2,Strike it with the Mage. Chain to it with the Wizard. You can do this.,メイジで攻撃して。ウィザードで連鎖して。あなたならできます。,메이지로 공격하세요. 위자드로 연쇄하세요. 당신이라면 할 수 있어요.,用法師攻擊它。用巫師連鎖。你能做到的。,用法师攻击它。用巫师的连锁闪电连到它。你能做到。,Atácala con el Mago. Encadénala con el Hechicero. Puedes hacerlo.,Ataque com o Mago. Encadeie com o Feiticeiro. Você consegue.,Бей его Магом. Свяжи цепью с помощью Волшебника. Ты справишься.,Frappe-le avec le Mage. Enchaîne avec le Sorcier. Tu peux le faire.,Hãy đánh nó bằng Pháp Sư. Dùng Phù Thủy tạo chuỗi sét tới nó. Ngươi làm được.
story_boss_4_0,A towering figure of pure energy materializes. Beams of light arc from its form in all directions.,純粋なエネルギーでできた巨大な姿が現れる。光のビームがその体からあらゆる方向に弧を描く。,순수한 에너지로 된 거대한 형상이 나타난다. 빛줄기가 그 형체에서 사방으로 뻗어나간다.,一個由純粹能量組成的巨大身影現身。光束從它的形體向四面八方弧射。,一个由纯能量组成的高大身影实体化。光束从它的形态向四面八方射出。,Una figura imponente de pura energía se materializa. Rayos de luz surgen de su forma en todas direcciones.,Uma figura imponente de pura energia se materializa. Feixes de luz saem de sua forma em todas as direções.,Величественная фигура из чистой энергии материализуется. Лучи света исходят из неё во всех направлениях.,Une silhouette imposante d'énergie pure se matérialise. Des rayons de lumière jaillissent de sa forme dans toutes les directions.,Một hình bóng cao lớn bằng năng lượng thuần khiết hiện ra. Tia sáng phóng ra từ hình dạng của nó theo mọi hướng.
story_boss_4_1,"Here it comes. My full power, unrestrained.",来るぞ。俺の全力が、解き放たれる。,"온다. 내 전력이, 해방된다.",來了。我的全部力量，毫無保留。,来了……我全部的力量，毫无保留。,¡Este es el final! ¡Mi Vestigio más poderoso!,Este é o fim! Meu Vestígio mais poderoso!,Это финал! Мой самый могущественный Останок!,C'est la fin ! Mon Vestige le plus puissant !,Đây là hồi kết! Tàn Dư mạnh nhất của ta!
story_boss_4_2,Heal. Keep healing. And strike when you can!,回復しろ。回復し続けろ。そして隙を見て攻撃しろ！,회복해라. 계속 회복해. 그리고 틈이 있을 때 공격해라!,治療。持續治療。有機會就攻擊！,治疗。不断治疗。能出手就出手！,Cúrate. Sigue curándote. ¡Y ataca cuando puedas!,Cure-se. Continue se curando. E ataque quando puder!,"Лечись. Не прекращай лечиться. И бей, когда сможешь!",Soigne-toi. Continue de te soigner. Et frappe quand tu peux !,Hồi máu. Tiếp tục hồi máu. Và ra đòn khi có thể!
story_collect_archer,Yes! The Archer's sprite now fights alongside you. But be warned - demons are coming. They sense your presence!,よくやった！アーチャーの魂がお前と共に戦う。だが気をつけろ - 魔族が来る。お前の存在を感じ取った。,좋아! 아처의 혼이 이제 너와 함께 싸운다. 하지만 조심해라 - 마족이 온다. 네 존재를 감지했다.,做得好！弓箭手的靈魂現在與你並肩作戰。但要小心 - 惡魔來了。他們感知到了你的存在！,太好了！弓箭手的精灵现在与你并肩作战。但要小心——恶魔要来了。他们察觉到了你的存在！,¡Sí! El Arquero ahora lucha a tu lado. Los enemigos se acercan - ¡sobrevive!,Sim! O Arqueiro agora luta ao seu lado. Inimigos se aproximam - sobreviva!,Да! Лучник теперь сражается рядом с тобой. Враги приближаются - выживи!,Oui ! L'Archer combat maintenant à tes côtés. Les ennemis approchent - survis !,Tốt! Cung Thủ giờ chiến đấu bên ngươi. Kẻ thù đang đến - hãy sống sót!
story_complete_1_1,You've done more than I dared hope. But I am only one of four.,我が望んだ以上のことをしてくれた。,내가 바랐던 것 이상을 해냈다.,你做到的比我期望的還多。,你做得比我敢奢望的还多。但我只是四人中的一个。,Has hecho más de lo que esperaba. Pero solo soy uno de cuatro.,Você fez mais do que eu ousava esperar. Mas sou apenas um dos quatro.,"Ты сделал больше, чем я смел надеяться. Но я лишь один из четырёх.",Tu as fait plus que je n'osais espérer. Mais je ne suis qu'un des quatre.,Ngươi đã làm hơn những gì ta dám hy vọng. Nhưng ta chỉ là một trong bốn người.
